SECTIONID,RD_NAME,New Section ID,Branch ID
3648000,BILL ROBERTSON LN,605820,BILLROBERT
3648100,BILL ROBERTSON LN,605840,BILLROBERT
3648200,BILL ROBERTSON LN,605860,BILLROBERT
3648300,BILL ROBERTSON LN,605880,BILLROBERT
6396000,JOHNNIE COCHRAN VISTA,2831830,JOHNCOCHRA
6396100,JOHNNIE COCHRAN VISTA,2831860,JOHNCOCHRA
6396200,JOHNNIE COCHRAN VISTA,2831880,JOHNCOCHRA
4568700,RODEO RD,3999910,OBAMABL
4568800,RODEO RD,3999920,OBAMABL
4568900,RODEO RD,3999930,OBAMABL
4569000,RODEO RD,3999940,OBAMABL
4569100,RODEO RD,3999950,OBAMABL
4569200,RODEO RD,3999960,OBAMABL
4569300,RODEO RD,3999970,OBAMABL
4569400,RODEO RD,3999980,OBAMABL
4569500,RODEO RD,3999990,OBAMABL
4569600,RODEO RD,4000000,OBAMABL
4569700,RODEO RD,4000010,OBAMABL
4569800,RODEO RD,4000020,OBAMABL
4569900,RODEO RD,4000030,OBAMABL
4570000,RODEO RD,4000040,OBAMABL
4570100,RODEO RD,4000050,OBAMABL
4570200,RODEO RD,4000060,OBAMABL
4570300,RODEO RD,4000070,OBAMABL
4570400,RODEO RD,4000080,OBAMABL
4570500,RODEO RD,4000090,OBAMABL
4572000,RODEO RD,4000240,OBAMABL
4572100,RODEO RD,4000250,OBAMABL
4572200,RODEO RD,4000260,OBAMABL
4572300,RODEO RD,4000270,OBAMABL
4572400,RODEO RD,4000280,OBAMABL
4572500,RODEO RD,4000290,OBAMABL
4572600,RODEO RD,4000300,OBAMABL
4572700,RODEO RD,4000310,OBAMABL
4572800,RODEO RD,4000320,OBAMABL
4572900,RODEO RD,4000330,OBAMABL
4573600,RODEO RD,4000400,OBAMABL
3818750,MULHOLLAND DR,,MLHLLNDR
